Country Name,Country Code,ID,Year,GDP,Pop,Host,Soviet,Investment in Non-Financial Assets,Political_Stability,Round
Australia,AUS,1,1974,88963890936,13723000,0,0,246000000,,0
Australia,AUS,1,1975,97304383449,13893000,0,0,500000000,,0
Australia,AUS,1,1976,105066179251,14033000,0,0,625000000,,0
Australia,AUS,1,1977,110350997935,14192000,0,0,553000000,,0
Australia,AUS,1,1978,118495375592,14358000,0,0,425000000,,0
Australia,AUS,1,1979,134898330115,14514000,0,0,323000000,,0
Australia,AUS,1,1980,149984401114,14692000,0,0,371000000,,0
Australia,AUS,1,1981,176891907582,14923260,0,0,237000000,,0
Australia,AUS,1,1982,194037294494,15184247,0,0,460000000,,0
Australia,AUS,1,1983,177267197005,15393472,0,0,680000000,,0
Australia,AUS,1,1984,193519289984,15579391,0,0,668000000,,0
Australia,AUS,1,1985,180633581345,15788312,0,0,2747000000,,0
Australia,AUS,1,1986,182472020145,16018350,0,0,3204000000,,0
Australia,AUS,1,1987,189487824246,16263874,0,0,3586000000,,0
Australia,AUS,1,1988,236153958091,16532164,0,0,2901000000,,0
Australia,AUS,1,1989,299877860109,16814416,0,0,3194000000,,0
Australia,AUS,1,1990,311433628319,17065128,0,0,3886000000,,0
Australia,AUS,1,1991,325986971195,17284036,0,0,3933000000,,0
Australia,AUS,1,1992,325531800354,17478635,0,0,4239000000,,0
Australia,AUS,1,1993,312138139404,17634808,0,0,3827000000,,0
Australia,AUS,1,1994,322809408509,17805468,0,0,3578000000,,0
Australia,AUS,1,1995,368140778141,18004882,0,0,4341000000,,0
Australia,AUS,1,1996,401311077390,18224767,0,0,4332000000,1.39647,0
Australia,AUS,1,1997,435614337142,18423037,0,0,4305000000,,0
Australia,AUS,1,1998,399660855999,18607584,0,0,4637000000,1.06588,0
Australia,AUS,1,1999,389389647826,18812264,0,0,2258000000,,0
Australia,AUS,1,2000,415851284306,19028802,1,0,1199000000,1.33455,1
Australia,AUS,1,2001,379358162499,19274701,0,0,1275000,,1
Australia,AUS,1,2002,395580786940,19495210,0,0,2436000,1.19291,1
Australia,AUS,1,2003,467497961561,19720737,0,0,2495000,0.878802,1
Australia,AUS,1,2004,614326362214,19932722,0,0,3474000,0.936503,1
Australia,AUS,1,2005,695328522027,20176844,0,0,6677000,0.893511,1
Australia,AUS,1,2006,747906558850,20450966,0,0,8221000,0.935188,1
Australia,AUS,1,2007,854427259166,20827622,0,0,8705000,0.92879,1
